@relation 'traindata2-weka.filters.unsupervised.attribute.Remove-R3-4,8-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute senteces string
@attribute fox string
@attribute foxsc numeric

@data
'Ajay Devgn was spotted outside a theatre here along with wife Kajol ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Kajol>        rdfs:label  \"Kajol\" .<http://dbpedia.org/resource/Ajay_Devgan>        rdfs:label  \"Ajay Devgn\" . ',33.33
'Rajeev Motwani was mentor to Google\'s founders. Larry Page and Sergey Brin. when they were PhD students at Stanford university ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Sergey_Brin>        rdfs:label  \"Sergey Brin\" .<http://dbpedia.org/resource/Stanford_University>        rdfs:label  \"Stanford\" .<http://dbpedia.org/resource/Google>        rdfs:label  \"Google\" .<http://dbpedia.org/resource/Rajeev_Motwani>        rdfs:label  \"Rajeev Motwani\" .<http://dbpedia.org/resource/Larry_Page>        rdfs:label  \"Larry Page\" . ',33.33
'They ultimately raised about $1 million from investors. family. and friends and set up shop in Menlo Park. California. under the name Google. which was derived from a misspelling of Pages original planned name. googol ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Google>        rdfs:label  \"Google\" .<http://dbpedia.org/resource/California>        rdfs:label  \"California\" .<http://dbpedia.org/resource/Menlo_Park\%2C_California>        rdfs:label  \"Menlo Park\" ;        <http://ns.aksw.org/fox/ontology#locatedin>                <http://dbpedia.org/resource/California> . ',46.67
'Famed singer-songwriter John Lennon founded the Beatles. a band that impacted the popular music scene like no other before. or since ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/John_Lennon>        rdfs:label  \"John Lennon\" . ',33.33
'The Education Department has been approving plans at a fast and furious clip in recent weeks. So far. 33 states. plus the District of Columbia and Puerto Rico ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/List_of_education_ministries>        rdfs:label  \"Education Department\" .<http://dbpedia.org/resource/Puerto_Rico>        rdfs:label  \"Puerto Rico\" .<http://dbpedia.org/resource/Washington\%2C_D.C.>        rdfs:label  \"District of Columbia\" . ',0
'Japan is located in the east most of Asia so it is called as the Land of rising Sun ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Sun>        rdfs:label  \"Sun\" .<http://dbpedia.org/resource/Japan>        rdfs:label  \"Japan\" .<http://dbpedia.org/resource/Asia>        rdfs:label  \"Asia\" . ',33.33
'HSBC decided not to move its headquarters from London to Hong Kong. HSBC was established as the Hong Kong and Shanghai Bank almost exactly 151 years ago. opening for business in Hong Kong on March 1865 and in Shanghai a month later ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://aksw.org/notinwiki/ShanghaiBank>        rdfs:label  \"Shanghai Bank\" .<http://dbpedia.org/resource/Hong_Kong>        rdfs:label  \"Hong Kong\" .<http://dbpedia.org/resource/Shanghai>        rdfs:label  \"Shanghai\" .<http://dbpedia.org/resource/London>        rdfs:label  \"London\" .<http://dbpedia.org/resource/HSBC>        rdfs:label  \"HSBC\" . ',33.33
'Tata Consultancy Services (TCS) has taken on lease 1.8 million sq ft at Hiranandani Estate. Thane ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Thane>        rdfs:label  \"Thane\" .<http://dbpedia.org/resource/The_Cleveland_Show>        rdfs:label  \"TCS\" .<http://dbpedia.org/resource/Tata_Consultancy_Services>        rdfs:label  \"Tata Consultancy Services\" .<http://dbpedia.org/resource/Hiranandani_Estate>        rdfs:label  \"Hiranandani Estate\" . ',33.33
'Fifth Harmony\'s Camila Cabello has quit the girl group ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Fifth_Harmony>        rdfs:label  \"Fifth Harmony\" . \"Camila Cabello\" . ',33.33
'Altice subsidary Numericable signs Virgin Mobile acquisition agreement ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Virgin_Mobile>        rdfs:label  \"Virgin Mobile\" . ',0
'Oklahoma Trae Young is simply stunning. His deep 3-ball has drawn multiple comparisons to Steph Curry. and the Golden State Warrior called the freshman guard style unbelievable ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Golden_State_Warriors>        rdfs:label  \"Golden State Warrior\" .<http://dbpedia.org/resource/Stephen_Curry>        rdfs:label  \"Steph Curry\" .<http://aksw.org/notinwiki/OklahomaTraeYoung>        rdfs:label  \"Oklahoma Trae Young\" . ',0
'MS Dhoni was an integral part of Chennai Super Kings (CSK) in the first eight editions of the Indian Premier League (IPL) ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Dhoni>        rdfs:label  \"Dhoni\" .<http://dbpedia.org/resource/Chennai_Super_Kings>        rdfs:label  \"Chennai Super Kings\" . ',33.33
'Microsoft CEO Satya Nadella is in the middle of a world tour to promote his new book Hit Refresh. in which he talks about how he\'s in the process of reinventing the computing giant ','  @prefix schema: <http://schema.org/> .@prefix xsd:   <http://www.w3.org/2001/XMLSchema#> .@prefix its:   <http://www.w3.org/2005/11/its/rdf#> .@prefix rdfs:  <http://www.w3.org/2000/01/rdf-schema#> .@prefix nif:   <http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#> .@prefix dbo:   <http://dbpedia.org/ontology/> .@prefix foxo:  <http://www.w3.org/2001/XMLSchema#> .@prefix oa:    <http://www.w3.org/ns/oa#> .@prefix foxr:  <http://ns.aksw.org/fox/resource#> .@prefix rdf:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix dbr:   <http://learningsparql.com/ns/addressbook#> .@prefix prov:  <http://www.w3.org/ns/prov#> .@prefix foaf:  <http://xmlns.com/foaf/0.1/> .<http://dbpedia.org/resource/Satya_Nadella>        rdfs:label  \"Satya Nadella\" ;        <http://ns.aksw.org/fox/ontology#workfor>                <http://dbpedia.org/resource/Microsoft> .<http://dbpedia.org/resource/Microsoft>        rdfs:label  \"Microsoft\" . ',50
